Profile,PWV(mm),Cos,Airmass,Rad4
1,4.5,-0.8,1.25,0.5822564708
1,4.5,-0.775,1.29032258064516,0.5979578127
1,4.5,-0.75,1.33333333333333,0.6145731895
1,4.5,-0.725,1.37931034482759,0.6321868277
1,4.5,-0.7,1.42857142857143,0.6508938968
1,4.5,-0.675,1.48148148148148,0.6708019646
1,4.5,-0.65,1.53846153846154,0.692033791
1,4.5,-0.625,1.6,0.7147295983
1,4.5,-0.6,1.66666666666667,0.7390506216
1,4.5,-0.575,1.73913043478261,0.7651831838
1,4.5,-0.55,1.81818181818182,0.7933438173
1,4.5,-0.525,1.9047619047619,0.8237859001
1,4.5,-0.5,2,0.8568076883
1,4.6,-1,1,0.4930683062
1,4.6,-0.975,1.02564102564103,0.5038262461
1,4.6,-0.95,1.05263157894737,0.5150859361
1,4.6,-0.925,1.08108108108108,0.5268841633
1,4.6,-0.9,1.11111111111111,0.5392612657
1,4.6,-0.875,1.14285714285714,0.5522620049
1,4.6,-0.85,1.17647058823529,0.5659357412
1,4.6,-0.825,1.21212121212121,0.5803373642
1,4.6,-0.8,1.25,0.5955279339
1,4.6,-0.775,1.29032258064516,0.611575786
1,4.6,-0.75,1.33333333333333,0.628557289
1,4.6,-0.725,1.37931034482759,0.6465584156
1,4.6,-0.7,1.42857142857143,0.6656762562
1,4.6,-0.675,1.48148148148148,0.6860208232
1,4.6,-0.65,1.53846153846154,0.7077173796
1,4.6,-0.625,1.6,0.7309089415
1,4.6,-0.6,1.66666666666667,0.7557602366
1,4.6,-0.575,1.73913043478261,0.7824614877
1,4.6,-0.55,1.81818181818182,0.8112335345
1,4.6,-0.525,1.9047619047619,0.8423352265
1,4.6,-0.5,2,0.8760709316
1,4.7,-1,1,0.5042384146
1,4.7,-0.975,1.02564102564103,0.5152332596
1,4.7,-0.95,1.05263157894737,0.5267407396
1,4.7,-0.925,1.08108108108108,0.5387982237
1,4.7,-0.9,1.11111111111111,0.5514470977
1,4.7,-0.875,1.14285714285714,0.5647328799
1,4.7,-0.85,1.17647058823529,0.5787060363
1,4.7,-0.825,1.21212121212121,0.5934226792
1,4.7,-0.8,1.25,0.6089450326
1,4.7,-0.775,1.29032258064516,0.6253428292
1,4.7,-0.75,1.33333333333333,0.6426940672
1,4.7,-0.725,1.37931034482759,0.6610865239
1,4.7,-0.7,1.42857142857143,0.6806193269
1,4.7,-0.675,1.48148148148148,0.7014046423
1,4.7,-0.65,1.53846153846154,0.7235703524
1,4.7,-0.625,1.6,0.7472625584
1,4.7,-0.6,1.66666666666667,0.7726491895
1,4.7,-0.575,1.73913043478261,0.7999244845
1,4.7,-0.55,1.81818181818182,0.8293138235
1,4.7,-0.525,1.9047619047619,0.8610812365
1,4.7,-0.5,2,0.895537436
1,4.8,-1,1,0.5155308172
1,4.8,-0.975,1.02564102564103,0.5267651286
1,4.8,-0.95,1.05263157894737,0.5385228433
1,4.8,-0.925,1.08108108108108,0.5508423201
1,4.8,-0.9,1.11111111111111,0.5637657014
1,4.8,-0.875,1.14285714285714,0.5773393787
1,4.8,-0.85,1.17647058823529,0.5916150403
1,4.8,-0.825,1.21212121212121,0.6066497299
1,4.8,-0.8,1.25,0.6225071265
1,4.8,-0.775,1.29032258064516,0.63925836
1,4.8,-0.75,1.33333333333333,0.6569830002
1,4.8,-0.725,1.37931034482759,0.6757705705
1,4.8,-0.7,1.42857142857143,0.695722294
1,4.8,-0.675,1.48148148148148,0.716952607
1,4.8,-0.65,1.53846153846154,0.7395920111
1,4.8,-0.625,1.6,0.7637895178
1,4.8,-0.6,1.66666666666667,0.7897165488
1,4.8,-0.575,1.73913043478261,0.8175711264
1,4.8,-0.55,1.81818181818182,0.8475833456
1,4.8,-0.525,1.9047619047619,0.8800225914
1,4.8,-0.5,2,0.9152056882
1,4.9,-1,1,0.5269451067
1,4.9,-0.975,1.02564102564103,0.5384211545
1,4.9,-0.95,1.05263157894737,0.5504317232
1,4.9,-0.925,1.08108108108108,0.5630157539
1,4.9,-0.9,1.11111111111111,0.57621632
1,4.9,-0.875,1.14285714285714,0.590080861
1,4.9,-0.85,1.17647058823529,0.6046618801
1,4.9,-0.825,1.21212121212121,0.6200178177
1,4.9,-0.8,1.25,0.6362135173
1,4.9,-0.775,1.29032258064516,0.6533215637
1,4.9,-0.75,1.33333333333333,0.6714230985
1,4.9,-0.725,1.37931034482759,0.6906096241
1,4.9,-0.7,1.42857142857143,0.7109842263
1,4.9,-0.675,1.48148148148148,0.7326636696
1,4.9,-0.65,1.53846153846154,0.7557811332
1,4.9,-0.625,1.6,0.7804885972
1,4.9,-0.6,1.66666666666667,0.8069608593
1,4.9,-0.575,1.73913043478261,0.8354000165
1,4.9,-0.55,1.81818181818182,0.8660407038
1,4.9,-0.525,1.9047619047619,0.8991576033
1,4.9,-0.5,2,0.9350739419
1,5,-1,1,0.5384819815
1,5,-0.975,1.02564102564103,0.5502022686
1,5,-0.95,1.05263157894737,0.5624681362
1,5,-0.925,1.08108108108108,0.57531934
1,5,-0.9,1.11111111111111,0.5887998268
1,5,-0.875,1.14285714285714,0.6029580254
1,5,-0.85,1.17647058823529,0.6178474287
1,5,-0.825,1.21212121212121,0.6335276412
1,5,-0.8,1.25,0.6500649033
1,5,-0.775,1.29032258064516,0.6675331388
1,5,-0.75,1.33333333333333,0.6860152353
1,5,-0.725,1.37931034482759,0.7056043833
1,5,-0.7,1.42857142857143,0.726405764
1,5,-0.675,1.48148148148148,0.7485385286
1,5,-0.65,1.53846153846154,0.7721384172
1,5,-0.625,1.6,0.797360437
1,5,-0.6,1.66666666666667,0.8243828779
1,5,-0.575,1.73913043478261,0.8534118533
1,5,-0.55,1.81818181818182,0.8846864803
1,5,-0.525,1.9047619047619,0.9184869123
1,5,-0.5,2,0.9551426629
1,5.1,-1,1,0.5501394044
1,5.1,-0.975,1.02564102564103,0.5621063174
1,5.1,-0.95,1.05263157894737,0.5746299285
1,5.1,-0.925,1.08108108108108,0.5877508665
1,5.1,-0.9,1.11111111111111,0.6015139516
1,5.1,-0.875,1.14285714285714,0.6159684854
1,5.1,-0.85,1.17647058823529,0.6311691832
1,5.1,-0.825,1.21212121212121,0.6471767556
1,5.1,-0.8,1.25,0.6640586653
1,5.1,-0.775,1.29032258064516,0.6818904076
1,5.1,-0.75,1.33333333333333,0.7007565
1,5.1,-0.725,1.37931034482759,0.7207518793
1,5.1,-0.7,1.42857142857143,0.7419838803
1,5.1,-0.675,1.48148148148148,0.7645739825
1,5.1,-0.65,1.53846153846154,0.7886605454
1,5.1,-0.625,1.6,0.8144016028
1,5.1,-0.6,1.66666666666667,0.8419789374
1,5.1,-0.575,1.73913043478261,0.8716026205
1,5.1,-0.55,1.81818181818182,0.903516484
1,5.1,-0.525,1.9047619047619,0.9380060364
1,5.1,-0.5,2,0.9754072526
1,5.2,-1,1,0.5619174917
1,5.2,-0.975,1.02564102564103,0.5741333007
1,5.2,-0.95,1.05263157894737,0.5869171
1,5.2,-0.925,1.08108108108108,0.6003102753
1,5.2,-0.9,1.11111111111111,0.6143585779
1,5.2,-0.875,1.14285714285714,0.6291122409
1,5.2,-0.85,1.17647058823529,0.6446270854
1,5.2,-0.825,1.21212121212121,0.6609649281
1,5.2,-0.8,1.25,0.6781946868
1,5.2,-0.775,1.29032258064516,0.6963931955
1,5.2,-0.75,1.33333333333333,0.71564666
1,5.2,-0.725,1.37931034482759,0.7360518794
1,5.2,-0.7,1.42857142857143,0.7577182841
1,5.2,-0.675,1.48148148148148,0.780769682
1,5.2,-0.65,1.53846153846154,0.8053470519
1,5.2,-0.625,1.6,0.8316115709
1,5.2,-0.6,1.66666666666667,0.8597484557
1,5.2,-0.575,1.73913043478261,0.8899717941
1,5.2,-0.55,1.81818181818182,0.9225301328
1,5.2,-0.525,1.9047619047619,0.9577143355
1,5.2,-0.5,2,0.9958667215
1,5.3,-1,1,0.5738188629
1,5.3,-0.975,1.02564102564103,0.5862859543
1,5.3,-0.95,1.05263157894737,0.5993324448
1,5.3,-0.925,1.08108108108108,0.6130004767
1,5.3,-0.9,1.11111111111111,0.6273366744
1,5.3,-0.875,1.14285714285714,0.6423922023
1,5.3,-0.85,1.17647058823529,0.658224104
1,5.3,-0.825,1.21212121212121,0.6748953019
1,5.3,-0.8,1.25,0.6924759946
1,5.3,-0.775,1.29032258064516,0.7110446459
1,5.3,-0.75,1.33333333333333,0.7306889747
1,5.3,-0.725,1.37931034482759,0.7515077014
1,5.3,-0.7,1.42857142857143,0.7736123516
1,5.3,-0.675,1.48148148148148,0.7971290033
1,5.3,-0.65,1.53846153846154,0.8222014876
1,5.3,-0.625,1.6,0.8489938919
1,5.3,-0.6,1.66666666666667,0.8776950417
1,5.3,-0.575,1.73913043478261,0.9085230413
1,5.3,-0.55,1.81818181818182,0.9417310357
1,5.3,-0.525,1.9047619047619,0.9776154766
1,5.3,-0.5,2,1.01652497
1,5.4,-1,1,0.5858363584
1,5.4,-0.975,1.02564102564103,0.5985570024
